ASF,FG,MN,ED,INV_LOG,ND,STD,Y
1,0,0.918473809,0.97674574,0.296176359,0,0.599293641,1
1,0,1,1,0.296602754,0,1,1
1,0,0.07886481,0,0.295982169,0,0,1
0,1,0,0,0.321247773,1,0,0
1,0,0,0,0.299056375,0,0.106105783,1
1,0,1,1,0.299369922,0,1,1
1,0,1,1,0.299111408,0,1,1
1,0,0,0,0.298852844,0,0.22569677,1
1,0,0.927928138,0.987727645,0.299275107,0,1,1
1,0,0.461828668,0.516552767,0.299306958,0,1,1
1,0,0.676287881,0.749397145,0.29906753,0,1,1
1,0,0,0,0.298956068,0,0,1
0,0,0,0,0.299114356,0,0,1
1,0,0,0,0.298985377,0,0.719088381,1
1,0,0.080010537,0.222903066,0.29917446,0,0.526877904,1
1,0,0,0,0.299242067,0,0.882166412,1
1,0,0,0,0.299059876,0,0,1
1,0,0.125847733,0.195709092,0.299150865,0,0,1
1,0,1,1,0.299352345,0,1,1
1,0,0.875243462,0.899055009,0.299382938,0,1,1
1,0,0.776302485,0.729366585,0.299157157,0,1,1
1,0,0.151926696,0.303716341,0.298927625,0,0.285000104,1
1,0,0,0,0.299274463,0,0.150597432,1
1,0,1,1,0.299212819,0,1,1
1,0,0,0,0.299216245,0,0.762375833,1
1,0,0.815135455,0.891517872,0.298932677,0,1,1
1,0,0,0,0.299279898,0,0.949335759,1
1,0,0.521711713,0.609040943,0.299003589,0,0,1
1,0,0,0,0.298944033,0,0.31413165,1
0,1,0,0,0.32239785,1,0,0
1,0,0.329714419,0.45356815,0.302329095,0,0,1
1,0,0,0,0.302041621,0,0,1
1,0,1,1,0.302517402,0,1,1
1,0,0.280168614,0.345159838,0.301969096,0,0,1
1,0,0.173089936,0.237858258,0.301906463,0,0.364377856,1
1,0,0.37912823,0.330746003,0.302250876,0,0.385965993,1
1,0,1,1,0.302389969,0,1,1
1,0,0.866261025,0.951866744,0.302013061,0,0,1
1,0,0.232027456,0.186374773,0.30210753,0,0.073814598,1
1,0,1,0.981205845,0.301925189,0,0.894375506,1
1,0,0.527159392,0.522313225,0.302031687,0,1,1
1,0,1,1,0.30232341,0,1,1
1,0,0.875351717,0.811474607,0.302310629,0,0.796006628,1
1,0,1,1,0.302042579,0,0.801732753,1
1,0,1,1,0.302157008,0,1,1
0,0,0,0,0.302072641,0,0,1
1,0,0.377734429,0.393838232,0.302137328,0,0.428318796,1
1,0,1,1,0.302049298,0,0.504796469,1
1,0,0.087618333,0.039602531,0.301883252,0,0,1
1,0,1,1,0.302121215,0,0.995351418,1
1,0,1,1,0.302388968,0,1,1
1,0,1,1,0.302265357,0,0.829512713,1
1,0,0,0,0.30216024,0,0,1
1,0,0.78640458,0.799370443,0.302246914,0,0.678658446,1
1,0,0.613212358,0.643114364,0.302106455,0,0.394646753,1
0,1,0,0,0.323885029,1,0,0
0,0,0,0,0.304387139,0,0,1
1,0,0,0.144938573,0.304536983,0,0.252801266,1
1,0,0,0,0.304455237,0,0,1
1,0,0.807471626,0.90066306,0.304551455,0,1,1
1,0,0.473812709,0.752843816,0.304354722,0,0.872555473,1
1,0,1,1,0.304780765,0,1,1
1,0,0,0,0.30430429,0,0,1
1,0,0,0,0.304542318,0,0,1
1,0,1,1,0.304575015,0,1,1
1,0,0.618331065,0.71579087,0.3046236,0,1,1
1,0,0,0,0.304427272,0,0,1
1,0,0.731657881,0.798800165,0.305054262,0,1,1
1,0,0,0,0.304263277,0,0,1
1,0,0,0,0.304327149,0,0,1
1,0,0.942914227,1,0.304640265,0,1,1
1,0,0,0,0.304407952,0,0.216902772,1
1,0,0,0.050616669,0.304115593,0,0,1
1,0,0.189805262,0.265669028,0.304665776,0,0.966547061,1
1,0,0,0,0.304538555,0,0.392436707,1
1,0,0,0,0.304554567,0,0.93580155,1
1,0,1,1,0.304677167,0,1,1
1,0,0.549603096,0.508581448,0.304715381,0,1,1
1,0,0.075081065,0.232394751,0.304598548,0,0.575318323,1
1,0,1,1,0.304409998,0,1,1
1,0,0.790633977,0.996234875,0.304508868,0,0.552130253,1
0,1,0,0,0.324823167,1,0,0
1,0,0.184268476,0.349728365,0.307345193,0,0.968953518,1
1,0,1,1,0.307233898,0,1,1
1,0,0,0,0.307189612,0,0,1
1,0,0,0,0.307153433,0,0,1
1,0,0,0,0.307058281,0,0.23598238,1
1,0,0,0,0.30733945,0,0.080777656,1
1,0,0.164197981,0.225925108,0.307316122,0,0.436108913,1
1,0,0,0,0.307139261,0,0.482268158,1
1,0,1,1,0.307414598,0,1,1
1,0,0,0,0.307066923,0,0.195429842,1
1,0,1,1,0.307353523,0,1,1
1,0,0,0,0.307189141,0,0.897438732,1
1,0,1,1,0.307324193,0,1,1
1,0,0.152706098,0.205757986,0.306950118,0,0.278532347,1
1,0,1,1,0.307454746,0,1,1
1,0,0,0,0.307235499,0,0,1
1,0,0,0.109005495,0.307058101,0,0.139499283,1
1,0,0.10337152,0.113124474,0.307133485,0,0.593018126,1
1,0,0,0,0.307059136,0,0.175517993,1
1,0,0.291594844,0.281067982,0.307338293,0,0.594014381,1
0,0,0,0,0.3070283,0,0,1
1,0,1,1,0.307594599,0,1,1
1,0,0,0,0.30722544,0,0,1
1,0,0.810446387,0.720793457,0.30696069,0,1,1
1,0,1,1,0.307563329,0,1,1
0,1,0,0,0.326392969,1,0,0
1,0,0,0.027189262,0.309002147,0,0,1
1,0,1,1,0.309548866,0,1,1
1,0,0,0,0.308859416,0,0,1
1,0,1,1,0.308822536,0,1,1
1,0,0,0,0.308961296,0,0,1
1,0,1,1,0.30893908,0,0.943325331,1
1,0,0.178847086,0.280529553,0.309065923,0,0,1
1,0,0.453926536,0.497579204,0.308983278,0,0.616246425,1
1,0,1,1,0.309265746,0,0.971691752,1
1,0,0,0,0.308946049,0,0,1
1,0,1,1,0.309408092,0,1,1
1,0,0.266202879,0.353404546,0.30915078,0,0.291033635,1
1,0,0,0,0.309173801,0,0,1
1,0,0.79502711,0.894570163,0.30901821,0,0.3138923,1
1,0,0,0,0.309070014,0,0,1
1,0,0,0,0.309121035,0,0,1
1,0,0.497947651,0.587927994,0.308974674,0,0.75954199,1
1,0,0,0,0.308784209,0,0.173245328,1
1,0,0.489948732,0.437969466,0.309261809,0,1,1
1,0,0,0,0.309067787,0,0,1
1,0,0.720276894,0.757870042,0.309335629,0,1,1
1,0,1,1,0.309238515,0,1,1
1,0,0,0,0.308817277,0,0,1
1,0,0,0,0.309161517,0,0.297274722,1
0,0,0,0,0.308903848,0,0,1
0,1,0,0,0.327523971,1,0,0
1,0,1,1,0.311371057,0,1,1
1,0,0,0,0.311035168,0,0,1
1,0,1,1,0.311428615,0,1,1
1,0,0,0.006966777,0.311050507,0,0.147604427,1
1,0,0.442729703,0.474837134,0.311020806,0,1,1
1,0,0.379621253,0.544103664,0.311266615,0,0,1
1,0,1,1,0.311233294,0,1,1
0,0,0,0,0.311007155,0,0,1
1,0,0,0,0.311181553,0,0,1
1,0,0.474182182,0.472395441,0.311248999,0,1,1
1,0,0,0,0.311162879,0,0,1
1,0,0.153225277,0,0.31137727,0,0.951088415,1
1,0,0,0,0.311207748,0,0.434681585,1
1,0,0,0,0.311005608,0,0,1
1,0,0.243901061,0.369924414,0.311301096,0,1,1
1,0,0,0,0.311069018,0,0,1
1,0,0,0.14189419,0.311193393,0,0.247874157,1
1,0,0,0,0.311268017,0,0,1
1,0,0,0,0.310976245,0,0,1
1,0,0,0,0.311449773,0,1,1
1,0,0,0,0.310961808,0,0,1
1,0,1,1,0.311379754,0,0.924763364,1
1,0,0,0,0.311162739,0,0.163966749,1
1,0,0,0,0.31106174,0,0,1
1,0,1,1,0.311076775,0,0.536157021,1
0,1,0,0,0.328556882,1,0,0
1,0,0.341879545,0.174064967,0.31311932,0,0.861254284,1
1,0,0,0,0.313131012,0,0,1
1,0,0.514010847,0.599620906,0.313200426,0,0.123518951,1
1,0,1,1,0.312994306,0,0.228508886,1
1,0,1,1,0.31325808,0,0.596819857,1
1,0,0,0,0.313112309,0,0,1
0,0,0,0,0.313019159,0,0,1
1,0,0.282592428,0.355913733,0.313291134,0,0.447092971,1
1,0,1,1,0.313052344,0,1,1
1,0,0.897010436,0.939300942,0.313207474,0,0,1
1,0,0,0,0.313170847,0,0,1
1,0,1,1,0.31326928,0,1,1
1,0,1,1,0.313144805,0,1,1
1,0,0.26701694,0.350091659,0.313181813,0,0,1
1,0,0,0,0.313307624,0,0,1
1,0,0.883197823,0.902125135,0.313211668,0,0.802857182,1
1,0,1,1,0.313004361,0,0.31049203,1
1,0,0.817106708,0.792353427,0.313041511,0,1,1
1,0,0,0.031606931,0.313055977,0,0,1
1,0,1,1,0.313413258,0,1,1
1,0,0.175275668,0.234282751,0.313303232,0,0.244819559,1
1,0,0.264573709,0.229653183,0.313367221,0,0.330053182,1
1,0,1,1,0.313115301,0,0.52247038,1
1,0,1,1,0.313294222,0,1,1
1,0,0.56586728,0.610547598,0.313366396,0,0.116984028,1
0,1,0,0,0.32984311,1,0,0
1,0,1,1,0.315002225,0,1,1
1,0,0.749870888,0.598400801,0.314919229,0,1,1
1,0,1,1,0.314821317,0,1,1
1,0,1,0.904716015,0.31461102,0,1,1
1,0,1,1,0.31494495,0,1,1
1,0,0.944558265,0.910053363,0.314629973,0,0.585382177,1
1,0,0.047215519,0,0.314550752,0,0.011482069,1
1,0,0,0,0.314931689,0,0,1
1,0,0,0,0.314903969,0,0,1
1,0,1,1,0.314759533,0,1,1
1,0,0,0,0.314891252,0,0,1
1,0,0.814310929,0.709919555,0.31470014,0,1,1
1,0,1,1,0.314777996,0,1,1
1,0,1,1,0.314495538,0,1,1
1,0,0,0,0.314747599,0,0,1
1,0,0,0,0.314412801,0,0,1
1,0,0.189491891,0.236639767,0.314690597,0,0,1
1,0,0,0,0.314716964,0,0,1
1,0,0.819673221,0.841018152,0.314797979,0,0.705051934,1
1,0,0.358264957,0.281897683,0.315039677,0,0.580719352,1
1,0,0.837278576,0.827234761,0.314948928,0,0.953810161,1
1,0,1,1,0.314665995,0,1,1
0,0,0,0,0.314679965,0,0,1
1,0,1,1,0.314738621,0,1,1
1,0,0,0,0.314692224,0,0.048831308,1
0,1,0,0,0.331032772,1,0,0
1,0,0,0,0.316137573,0,0,1
1,0,0.259066043,0.293008263,0.31625858,0,0,1
1,0,1,1,0.316717893,0,1,1
1,0,0.7088068,0.740739291,0.316305244,0,0.842575545,1
1,0,0,0,0.316256031,0,0,1
1,0,0,0,0.316317992,0,0,1
1,0,0,0,0.316269967,0,0,1
1,0,0.468098095,0.442802811,0.316192848,0,0.802336433,1
1,0,0,0,0.316285904,0,0,1
1,0,0,0,0.31623036,0,0,1
1,0,1,1,0.3162683,0,1,1
1,0,0,0,0.316263263,0,0,1
1,0,0,0,0.316481644,0,0,1
0,0,0,0,0.316041058,0,0,1
1,0,0,0,0.316465983,0,0.209618566,1
1,0,0,0,0.316322968,0,0,1
1,0,0.187314529,0.229433552,0.316405687,0,0.12099807,1
1,0,0.74949646,0.69803428,0.316318627,0,0.754128034,1
1,0,0,0,0.316235501,0,0,1
1,0,0.02883138,0.011131086,0.316292735,0,0,1
1,0,0,0,0.316438338,0,0,1
1,0,0,0,0.316188761,0,0,1
1,0,0.270812775,0.330042433,0.316417722,0,0.475683299,1
1,0,0.579533074,0.684596806,0.316367325,0,0.21445169,1
1,0,0.918673684,1,0.316267881,0,0.268382088,1
0,1,0,0,0.331821566,1,0,0
1,0,0.687972259,0.694228417,0.31802622,0,0,1
1,0,0.101844913,0,0.318110273,0,0,1
1,0,0.34198793,0.450651627,0.318058588,0,0,1
1,0,0.629920767,0.749101668,0.318049508,0,0.373952377,1
1,0,1,1,0.318351132,0,1,1
1,0,0.204929685,0.167622797,0.318002248,0,0.135576095,1
1,0,0.996587305,0.882522947,0.318286005,0,1,1
1,0,0,0,0.318080328,0,0,1
1,0,0.085123604,0.071887854,0.318185591,0,0,1
