ASF,FG,MN,ED,INV_LOG,ND,STD,SUM,SUM1,SUM5,SUM10,Diff1,avg5minusMe,avg10minusme,std5ofivlogdivMe,std10ofivlogdivMe,Y
1,0,0,0,0.249760764,1,0.214378927,2.464139691,6.397227334,37.83216626,317.2365425,-1.468947952,1.279030073,1.108479021,0.001093513,0.001554051,1
1,0,0.624719893,0.932717576,0.249825871,0.87022653,0.255597773,3.933087643,8.765586809,39.54951601,305.2377216,-0.899411523,-0.109824156,-0.376469836,0.001433524,0.069032463,1
1,0,1,1,0.249348634,0.583150532,1,4.832499166,9.7937306,38.42632055,295.4633275,-0.128732268,-0.745859452,-1.537769471,0.001513628,0.068842085,1
1,0,0.854039446,0.857097091,0.250094897,1,1,4.961231434,7.486122322,33.81907468,288.5654137,2.436340546,-1.362607039,-1.906228782,0.001278627,0.068046347,1
1,0,0,0.275007463,0.249883425,1,0,2.524890888,5.389499194,32.836291,285.6701347,-0.339717418,0.640299652,0.196762692,0.001948872,0.06746382,1
1,0,0.551337376,0.859554537,0.249269477,0.204446916,0,2.864608306,8.114577082,33.46019893,280.4098482,-2.38536047,0.537459354,0.030419764,0.001795524,0.066749921,1
1,0,1,1,0.249968776,1,1,5.249968776,7.642391348,28.96395902,270.6671913,2.857546204,-1.959996649,-2.215642416,0.097734517,0.065337841,1
1,0,0,0.371656784,0.249723238,0.77104255,0,2.392422572,5.186484732,25.07100293,265.4313077,-0.401639588,0.110397105,0.447159158,0.095393454,0.064110761,1
1,0,0.481084088,0.790253763,0.248804746,0.273919563,0,2.79406216,6.503338645,23.94748765,265.0820852,-0.915214325,-0.282681251,0.026297072,0.092502775,0.062787686,1
1,0,0.204962291,0.396988056,0.249546614,1,0.857779524,3.709276485,6.013407126,23.33052551,266.4553107,1.405145844,-1.431159865,-1.042507384,0.087463496,0.060440178,1
0,1,0,0,0.304130641,1,0,2.304130641,3.618337167,25.83334537,269.5547,0.989924115,0.08385784,0.119753263,0.067355608,0.047792374,0
1,0,0,0,0.258120132,0,0.056086394,1.314206526,3.749435259,29.77512188,268.6451852,-1.121022207,1.464474067,1.216998312,0.001513709,0.001242692,1
1,0,0.44985128,0.727230699,0.258146754,0,0,2.435228733,4.06296945,31.52840669,261.7395347,0.807488016,0.74111505,0.383886161,0.001602686,0.00127065,1
1,0,0,0,0.258406999,0,0.369333718,1.627740717,5.886376506,30.92379568,252.0999575,-2.630895072,1.501596837,1.178163099,0.001723297,0.001500804,1
1,0,1,1,0.258635789,0,1,4.258635789,8.516226991,27.57600454,242.6906597,0.001044587,-1.203214207,-1.440088721,0.001666584,0.001526667,1
1,0,1,1,0.257591202,0,1,4.257591202,7.560113676,23.71754204,236.6649786,0.955068728,-1.797811876,-1.675546338,0.00132128,0.001446825,1
1,0,0.562120407,0.48189354,0.258508527,0,1,3.302522474,5.502720062,23.72807543,232.8615411,1.102324886,-1.018793392,-1.020430079,0.001057415,0.001216764,1
1,0,0.231448575,0.163699735,0.257891999,0,0.547157279,2.200197588,3.458358445,24.72178041,225.0464372,0.942036731,0.261688417,0.177464704,0.0008555,0.00115985,1
1,0,0,0,0.258160857,0,0,1.258160857,2.538585366,25.32071316,213.23773,-0.022263652,1.224309221,1.025237844,0.001442447,0.001359359,1
1,0,0,0.022300352,0.258124157,0,0,1.280424509,4.657764492,26.42991478,200.4677869,-2.096915474,1.301248046,1.119697886,0.001486802,0.001367174,1
1,0,0.938310217,0.728296496,0.257809411,0,0.452923859,3.377339983,7.570647069,24.92383055,186.2254709,-0.815967103,-0.673029582,-0.979438547,0.001530465,0.001366965,1
1,0,1,0.934947382,0.258359704,0,1,4.193307086,6.496425039,22.86947144,174.7699406,1.890189133,-1.912851378,-2.107415016,0.001250406,0.001746711,1
1,0,0.254419786,0.198684291,0.258819962,0,0.591193914,2.303117953,4.057291197,21.88882951,167.6983798,0.548944709,-0.009679374,-0.510765724,0.001272132,0.001734119,1
1,0,0,0,0.258516808,0,0.495656436,1.754173244,3.647786984,21.51449779,162.6630434,-0.139440496,0.330154079,-0.066335209,0.001340549,0.001424912,1
1,0,0,0,0.258051434,0,0.635562306,1.89361374,3.151680258,21.55032353,158.227148,0.635547222,0.324958494,-0.174924986,0.001103081,0.001246371,1
1,0,0,0,0.258066518,0,0,1.258066518,5.516287957,19.91410452,155.1308582,-3.000154921,0.833425953,0.397036954,0.001146122,0.001256005,1
1,0,1,1,0.258221439,0,1,4.258221439,5.515783115,15.91297156,154.8303333,3.000659763,-2.366893007,-2.575084431,0.001831553,0.001238779,1
1,0,0,0,0.257561676,0,0,1.257561676,3.682959474,12.91307314,157.4916437,-1.167836122,0.033704204,0.230389541,0.001710059,0.059555009,1
1,0,0.525826779,0.641282863,0.258288156,0,0,2.425397798,3.683612724,12.5507701,162.1116647,1.167182872,-1.134049051,-0.936692398,0.00159561,0.059013953,1
1,0,0,0,0.258214926,0,0,1.258214926,1.515461248,12.18759873,166.8496851,1.000968604,-0.039409653,0.216016925,0.00139916,0.058616368,1
0,0,0,0,0.257246322,0,0,0.257246322,1.515154999,13.46830028,173.2826356,-1.000662355,0.961468151,1.332685077,0.001164557,0.058281914,1
1,0,0,0,0.257908677,0,0,1.257908677,2.51588469,15.79791068,180.3187846,-6.73E-05,0.217036906,0.460347914,0.000312444,0.057209778,1
1,0,0,0,0.257976013,0,0,1.257976013,3.32065644,16.85349304,186.4673884,-0.804704414,0.426660541,0.460986654,0.084024297,0.056241606,1
1,0,0.179143405,0.15608705,0.257922472,0,0.4695275,2.062680427,3.320441354,17.07860242,192.6945286,0.8049195,-0.376618374,-0.342984377,0.081858504,0.055131056,1
1,0,0,0,0.257760927,0,0,1.257760927,2.796162799,18.45403377,198.9258277,-0.280640945,0.471897503,0.459282315,0.07921672,0.053825131,1
1,0,0.147269614,0,0.257917733,0,0.133214525,1.538401872,3.844765401,19.61357961,201.7282762,-0.767961657,0.422746452,0.452013193,0.075701754,0.052222264,1
0,1,0,0,0.306363529,1,0,2.306363529,3.571467041,18.5742819,203.5057969,1.041260017,-0.344795931,-0.284975708,0.06007152,0.042485228,0
1,0,0,0,0.265103512,0,0,1.265103512,3.545765821,17.53309414,210.6067093,-1.015558797,0.488185269,0.765588302,0.00136573,0.001004737,1
1,0,0.223681177,0.24230644,0.264854117,0,0.549820575,2.280662309,4.695872708,17.2887905,219.6155065,-0.13454809,-0.527332262,-0.249981385,0.001376208,0.001029931,1
